Companies,Symbols,Ratings,Risk
China Tourism Group Duty Free Corp. Ltd.,HKG:1880,16.9,Low ESG Risk
China Tower Corp. Ltd.,HKG:788,24.8,Medium ESG Risk
China Traditional Chinese Medicine Holdings Co. Ltd.,HKG:570,38.3,High ESG Risk
"China TransInfo Technology Co., Ltd.",SHE:002373,20.2,Medium ESG Risk
China Travel International Investment Hong Kong Ltd.,HKG:308,30.6,High ESG Risk
"China Tungsten & Hightech Materials Co., Ltd.",SHE:000657,49.1,Severe ESG Risk
China Unicom (Hong Kong) Ltd.,HKG:762,30.7,High ESG Risk
China United Network Communications Ltd.,SHG:600050,30.7,High ESG Risk
"China Vanke Co., Ltd.",HKG:2202,16.9,Low ESG Risk
"China Wafer Level CSP Co., Ltd.",SHG:603005,26.0,Medium ESG Risk
China Water Affairs Group Ltd.,HKG:855,33.8,High ESG Risk
"China West Construction Co., Ltd.",SHE:002302,45.5,Severe ESG Risk
"China World Trade Center Co., Ltd.",SHG:600007,22.4,Medium ESG Risk
China XLX Fertiliser Ltd.,HKG:1866,49.4,Severe ESG Risk
"China Yangtze Power Co., Ltd.",SHG:600900,20.9,Medium ESG Risk
China Yongda Automobiles Services Holdings Ltd.,HKG:3669,14.1,Low ESG Risk
China Youran Dairy Group Ltd.,HKG:9858,36.0,High ESG Risk
China Youzan Ltd.,HKG:8083,12.9,Low ESG Risk
China YuHua Education Corp. Ltd.,HKG:6169,16.1,Low ESG Risk
"China Zhenhua (Group) Science & Technology Co., Ltd.",SHE:000733,27.7,Medium ESG Risk
"China Zheshang Bank Co., Ltd.",HKG:2016,25.6,Medium ESG Risk
"ChinaLin Securities Co., Ltd.",SHE:002945,35.4,High ESG Risk
Chinasoft International Ltd.,HKG:354,23.1,Medium ESG Risk
Chindata Group Holdings Ltd.,-,25.8,Medium ESG Risk
Chinese Estates Holdings  Ltd.,HKG:127,20.2,Medium ESG Risk
"Chinese Universe Publishing & Media Group Co., Ltd.",SHG:600373,15.0,Low ESG Risk
"Chinook Therapeutics, Inc.",-,36.3,High ESG Risk
Chipbond Technology Corp.,ROCO:6147,26.4,Medium ESG Risk
"ChipMOS Technologies, Inc.",TAI:8150,23.4,Medium ESG Risk
"Chipotle Mexican Grill, Inc.",NYS:CMG,20.8,Medium ESG Risk
"Chiyoda Co., Ltd.",TKS:8185,20.6,Medium ESG Risk
Chiyoda Corp.,TKS:6366,35.2,High ESG Risk
"Chiyoda Integre Co., Ltd.",TKS:6915,12.7,Low ESG Risk
Chlitina Holding Ltd.,TAI:4137,29.8,Medium ESG Risk
"CHN Energy Changyuan Electric Power Co., Ltd.",SHE:000966,49.4,Severe ESG Risk
Chocoladefabriken Lindt & Sprüngli AG,SWX:LISN,23.5,Medium ESG Risk
"Chofu Seisakusho Co., Ltd.",TKS:5946,28.7,Medium ESG Risk
"Choice Hotels International, Inc.",NYS:CHH,28.1,Medium ESG Risk
Choice Properties Real Estate Investment Trust,TSE:CHP.UT,11.9,Low ESG Risk
"ChoiceOne Financial Services, Inc.",NAS:COFS,30.5,High ESG Risk
Cholamandalam Financial Holdings Ltd.,BOM:504973,30.8,High ESG Risk
Cholamandalam Investment & Finance Co. Ltd.,BOM:511243,24.7,Medium ESG Risk
"Chong Hong Construction Co., Ltd.",TAI:5534,23.9,Medium ESG Risk
Chong Kun Dang Pharmaceutical Corp.,KRX:185750,35.1,High ESG Risk
ChongKunDang Holdings Corp.,KRX:001630,38.8,High ESG Risk
"Chongqing Brewery Co., Ltd.",SHG:600132,21.3,Medium ESG Risk
Chongqing Changan Automobile Co. Ltd.,SHE:000625,37.9,High ESG Risk
"Chongqing Department Store Co., Ltd.",SHG:600729,23.4,Medium ESG Risk
"Chongqing Fuling Electric Power Co., Ltd.",SHG:600452,50.9,Severe ESG Risk
"Chongqing Fuling Zhacai Group Co., Ltd.",SHE:002507,36.3,High ESG Risk
"Chongqing Iron & Steel Co., Ltd.",HKG:1053,42.2,Severe ESG Risk
"Chongqing Rural Commercial Bank Co., Ltd.",HKG:3618,26.9,Medium ESG Risk
"Chongqing Sanfeng Environmental Group Corp., Ltd.",SHG:601827,28.7,Medium ESG Risk
Chongqing Three Gorges Water Conservancy & Elect Pwr Co. Ltd.,SHG:600116,55.3,Severe ESG Risk
"Chongqing Water Group Co., Ltd.",SHG:601158,39.9,High ESG Risk
"Chongqing Zaisheng Technology Co., Ltd.",SHG:603601,28.8,Medium ESG Risk
"Chongqing Zhifei Biological Products Co., Ltd.",SHE:300122,27.2,Medium ESG Risk
"Chongqing Zongshen Power Machinery Co., Ltd.",SHE:001696,22.6,Medium ESG Risk
"Chongyi Zhangyuan Tungsten Co., Ltd.",SHE:002378,55.2,Severe ESG Risk
Chord Energy Corp.,NAS:CHRD,44.8,Severe ESG Risk
"Chori Co., Ltd.",TKS:8014,14.5,Low ESG Risk
"Chorus Aviation, Inc.",TSE:CHR,31.2,High ESG Risk
Chorus Ltd.,NZE:CNU,25.4,Medium ESG Risk
Chouzhou International Investment Ltd.,-,36.0,High ESG Risk
"Chubushiryo Co., Ltd.",TKS:2053,46.8,Severe ESG Risk
CHUDENKO CORP.,TKS:1941,32.8,High ESG Risk
"Chugai Pharmaceutical Co., Ltd.",TKS:4519,21.3,Medium ESG Risk
"Chugin Financial Group, Inc.",TKS:5832,27.7,Medium ESG Risk
"Chugoku Marine Paints, Ltd.",TKS:4617,33.8,High ESG Risk
Chularat Hospital PCL,BKK:CHG,27.5,Medium ESG Risk
"Chun Yuan Steel Industry Co., Ltd.",TAI:2010,42.1,Severe ESG Risk
"CHUNBO Co., Ltd.",KRX:278280,39.2,High ESG Risk
Chung Hung Steel Corp.,TAI:2014,28.3,Medium ESG Risk
Chung Hwa Pulp Corp.,TAI:1905,24.4,Medium ESG Risk
Chung-Hsin Electric & Machinery Mfg. Corp.,TAI:1513,39.9,High ESG Risk
"Chunghwa Precision Test Tech Co., Ltd.",ROCO:6510,19.9,Low ESG Risk
"Chunghwa Telecom Co., Ltd.",TAI:2412,18.0,Low ESG Risk
"Chuo Spring Co., Ltd.",TKS:5992,25.5,Medium ESG Risk
"Church & Dwight Co., Inc.",NYS:CHD,22.1,Medium ESG Risk
"Churchill Downs, Inc.",NAS:CHDN,27.8,Medium ESG Risk
"Chuy's Holdings, Inc.",NAS:CHUY,30.7,High ESG Risk
CI Financial Corp.,TSE:CIX,26.8,Medium ESG Risk
CI Games SA,WAR:CIG,15.7,Low ESG Risk
Cian Plc,-,25.8,Medium ESG Risk
Cibus Nordic Real Estate AB,OME:CIBUS,14.9,Low ESG Risk
Ciclo Combinado Tierra Mojada SRL,-,55.9,Severe ESG Risk
Cicor Technologies Ltd.,SWX:CICN,10.6,Low ESG Risk
CIE Automotive India Ltd.,BOM:532756,21.7,Medium ESG Risk
CIE Automotive SA,MCE:CIE,13.1,Low ESG Risk
Cie d'Entreprises CFE SA,BRU:CFEB,24.0,Medium ESG Risk
CIECH SA,WAR:CIE,24.3,Medium ESG Risk
Cielo SA,BSP:CIEL3,16.7,Low ESG Risk
Ciena Corp.,NYS:CIEN,15.3,Low ESG Risk
CIFI Ever Sunshine Services Group Ltd.,HKG:1995,19.1,Low ESG Risk
CIFI Holdings (Group) Co. Ltd.,HKG:884,21.0,Medium ESG Risk
CIMB Bank Bhd.,-,24.6,Medium ESG Risk
CIMB Group Holdings Bhd.,KLS:1023,18.0,Low ESG Risk
CIMC Enric Holdings Ltd.,HKG:3899,25.7,Medium ESG Risk
Cimpress Plc,NAS:CMPR,9.7,Negligible ESG Risk
Çimsa Çimento Sanayi ve Ticaret AS,IST:CIMSA.E,22.8,Medium ESG Risk
Cincinnati Financial Corp.,NAS:CINF,23.3,Medium ESG Risk
Cinda Real Estate Co. Ltd.,SHG:600657,27.1,Medium ESG Risk
"Cinemark Holdings, Inc.",NYS:CNK,18.6,Low ESG Risk
"Cineplex, Inc.",TSE:CGX,16.5,Low ESG Risk
Cint Group AB,OME:CINT,23.1,Medium ESG Risk
Cintas Corp.,NAS:CTAS,17.1,Low ESG Risk
"Cipher Mining, Inc.",NAS:CIFR,25.1,Medium ESG Risk
Cipla Ltd.,BOM:500087,26.5,Medium ESG Risk
CIR SpA - Cie Industriali Riunite,MIL:CIR,35.4,High ESG Risk
Circle Anglia Social Housing Plc,-,16.4,Low ESG Risk
"CIRCOR International, Inc.",-,29.1,Medium ESG Risk
"Cirrus Logic, Inc.",NAS:CRUS,15.8,Low ESG Risk
Cirsa Enterprises SL,-,12.0,Low ESG Risk
"Cisco Systems, Inc.",NAS:CSCO,13.7,Low ESG Risk
Citadel Finance LLC,-,36.0,High ESG Risk
Citadel LP,-,35.8,High ESG Risk
"CITIC Heavy Industries Co., Ltd.",SHG:601608,36.9,High ESG Risk
CITIC Ltd.,HKG:267,51.2,Severe ESG Risk
"Citic Pacific Special Steel Group Co., Ltd.",SHE:000708,42.6,Severe ESG Risk
CITIC Press Corp.,SHE:300788,14.8,Low ESG Risk
CITIC Resources Holdings Ltd.,HKG:1205,26.2,Medium ESG Risk
"CITIC Securities Co., Ltd.",HKG:6030,29.8,Medium ESG Risk
CITIC Telecom International Holdings Ltd.,HKG:1883,28.9,Medium ESG Risk
"Citigroup Global Markets Holdings, Inc.",-,19.4,Low ESG Risk
"Citigroup, Inc.",NYS:C,26.9,Medium ESG Risk
"Citius Pharmaceuticals, Inc.",NAS:CTXR,34.9,High ESG Risk
Citizen Housing Group Ltd.,-,14.6,Low ESG Risk
Citizen Treasury 2 Plc,-,23.7,Medium ESG Risk
"Citizen Watch Co., Ltd.",TKS:7762,13.5,Low ESG Risk
Citizens & Northern Corp.,NAS:CZNC,33.6,High ESG Risk
"Citizens Financial Group, Inc. (Rhode Island)",NYS:CFG,23.8,Medium ESG Risk
"Citizens Financial Services, Inc.",NAS:CZFS,32.1,High ESG Risk
City Cement Co.,SAU:3003,43.1,Severe ESG Risk
"City Development Environment Co., Ltd.",SHE:000885,48.7,Severe ESG Risk
City Developments Ltd.,SES:C09,8.0,Negligible ESG Risk
City Holding Co.,NAS:CHCO,27.5,Medium ESG Risk
City of London Investment Group Plc,LON:CLIG,28.7,Medium ESG Risk
"City Office REIT, Inc.",NYS:CIO,15.1,Low ESG Risk
City Union Bank Ltd.,BOM:532210,27.6,Medium ESG Risk
Citychamp Watch & Jewellery Group Ltd.,HKG:256,18.6,Low ESG Risk
Citycon Oyj,HEL:CTY1S,11.3,Low ESG Risk
"Civista Bancshares, Inc.",NAS:CIVB,30.0,Medium ESG Risk
"Civitas Resources, Inc.",NYS:CIVI,38.2,High ESG Risk
Civitas Social Housing Plc,-,14.9,Low ESG Risk
"CJ CGV Co., Ltd.",KRX:079160,17.2,Low ESG Risk
CJ CheilJedang Corp.,KRX:097950,28.3,Medium ESG Risk
CJ Corp.,KRX:001040,44.9,Severe ESG Risk
"CJ ENM Co., Ltd.",KRX:035760,15.6,Low ESG Risk
CJ Freshway Corp.,KRX:051500,16.3,Low ESG Risk
CJ Logistics Corp.,KRX:000120,13.4,Low ESG Risk
CK Asset Holdings Ltd.,HKG:1113,16.6,Low ESG Risk
CK Hutchison Group Telecom Holdings Ltd.,-,12.8,Low ESG Risk
CK Hutchison Holdings Ltd.,HKG:1,27.3,Medium ESG Risk
CK Infrastructure Holdings Ltd.,HKG:1038,30.3,High ESG Risk
"CK Life Sciences International (Holdings), Inc.",HKG:775,23.2,Medium ESG Risk
CK Power Public Co. Ltd.,BKK:CKP,31.9,High ESG Risk
CKD Corp.,TKS:6407,28.9,Medium ESG Risk
CKE Holdings LP,-,33.5,High ESG Risk
Clal Insurance Enterprises Holdings Ltd.,TAE:CLIS,34.8,High ESG Risk
Clariane SE,PAR:CLARI,32.1,High ESG Risk
Clariant AG,SWX:CLN,19.4,Low ESG Risk
Clarion Housing Group Ltd.,-,13.5,Low ESG Risk
Clarios Global LP,-,17.5,Low ESG Risk
Clarivate Plc,NYS:CLVT,20.9,Medium ESG Risk
"CleanSpark, Inc.",NAS:CLSK,27.2,Medium ESG Risk
Cleanup Corp.,TKS:7955,17.7,Low ESG Risk
"Clear Channel Outdoor Holdings, Inc.",NYS:CCO,15.6,Low ESG Risk
"Clear Secure, Inc.",NYS:YOU,22.7,Medium ESG Risk
"Clearfield, Inc.",NAS:CLFD,19.4,Low ESG Risk
"Clearpoint Neuro, Inc.",NAS:CLPT,32.5,High ESG Risk
"Clearwater Analytics Holdings, Inc.",NYS:CWAN,26.3,Medium ESG Risk
Clearwater Paper Corp.,NYS:CLW,24.2,Medium ESG Risk
"Clearway Energy, Inc.",NYS:CWEN,40.4,Severe ESG Risk
Cleco Corporate Holdings LLC,-,43.2,Severe ESG Risk
Cleopatra Hospital Co.,CAI:CLHO,32.0,High ESG Risk
"Cleveland-Cliffs, Inc.",NYS:CLF,38.3,High ESG Risk
Clevo Co.,TAI:2362,21.0,Medium ESG Risk
Clicks Group Ltd.,JSE:CLS,21.1,Medium ESG Risk
"Client Service International, Inc.",SHE:300663,29.2,Medium ESG Risk
Clifford Capital Pte Ltd.,-,25.3,Medium ESG Risk
"Climb Global Solutions, Inc.",NAS:CLMB,13.1,Low ESG Risk
Clinuvel Pharmaceuticals Ltd.,ASX:CUV,22.6,Medium ESG Risk
"Clipper Realty, Inc.",NYS:CLPR,24.6,Medium ESG Risk
Cloetta AB,OME:CLA.B,22.7,Medium ESG Risk
Close Brothers Group Plc,LON:CBG,26.8,Medium ESG Risk
"Cloud Music, Inc.",HKG:9899,23.4,Medium ESG Risk
Cloudberry Clean Energy ASA,OSL:CLOUD,21.9,Medium ESG Risk
"Cloudflare, Inc.",NYS:NET,23.2,Medium ESG Risk
Clover Health Investments Corp.,NAS:CLOV,32.7,High ESG Risk
Clover LP,-,54.3,Severe ESG Risk
CLP Holdings Ltd.,HKG:2,20.2,Medium ESG Risk
CLS Holdings Plc,LON:CLI,14.7,Low ESG Risk
Clydesdale Bank Plc,-,16.5,Low ESG Risk
CM Hospitalar SA,BSP:VVEO3,15.4,Low ESG Risk
CMA CGM SA,-,19.3,Low ESG Risk
CMB International Leasing Management Ltd.,-,24.8,Medium ESG Risk
CMB Wing Lung Bank Ltd.,-,26.8,Medium ESG Risk
CMC Magnetics Corp.,TAI:2323,20.9,Medium ESG Risk
CMC Markets Plc,LON:CMCX,24.3,Medium ESG Risk
"CME Group, Inc.",NAS:CME,17.9,Low ESG Risk
"CMG Pharmaceutical Co., Ltd.",KRX:058820,41.2,Severe ESG Risk
CMGE Technology Group Ltd.,HKG:302,17.3,Low ESG Risk
"CMIC Holdings Co., Ltd.",TKS:2309,22.4,Medium ESG Risk
CMK Corp.,TKS:6958,23.1,Medium ESG Risk
CMOC Group Ltd.,HKG:3993,31.4,High ESG Risk
CMS Energy Corp.,NYS:CMS,21.7,Medium ESG Risk
CMS Info Systems Ltd.,BOM:543441,31.5,High ESG Risk
"CMST Development Co., Ltd.",SHG:600787,27.4,Medium ESG Risk
CNA Financial Corp.,NYS:CNA,29.1,Medium ESG Risk
CNB Financial Corp. (Pennsylvania),NAS:CCNE,31.0,High ESG Risk
CNCB (Hong Kong) Investment Ltd.,-,25.9,Medium ESG Risk
"CNGR Advanced Material Co., Ltd.",SHE:300919,35.0,High ESG Risk
CNH Industrial Capital Canada Ltd.,-,16.6,Low ESG Risk
CNH Industrial Capital LLC,-,15.8,Low ESG Risk
CNH Industrial NV,NYS:CNHI,14.6,Low ESG Risk
"CNHTC Jinan Truck Co., Ltd.",SHE:000951,18.4,Low ESG Risk
"CNNC Hua Yuan Titanium Dioxide Co., Ltd.",SHE:002145,30.2,High ESG Risk
"CNO Financial Group, Inc.",NYS:CNO,22.4,Medium ESG Risk
CNOOC Energy Technology & Services Ltd.,SHG:600968,29.8,Medium ESG Risk
CNOOC Ltd.,HKG:883,42.7,Severe ESG Risk
CNOOC Petroleum North America ULC,-,42.7,Severe ESG Risk
CNP Assurances SA,-,15.8,Low ESG Risk
"CNPC Capital Co., Ltd.",SHE:000617,38.6,High ESG Risk
"CNSIG Inner Mongolia Chemical Industry Co., Ltd.",SHG:600328,34.0,High ESG Risk
CNX Resources Corp.,NYS:CNX,46.4,Severe ESG Risk
Co-entreprise de Transport d’Electricité SA,-,22.5,Medium ESG Risk
Co-operators Financial Services Ltd.,-,29.3,Medium ESG Risk
Co-Tech Development Corp.,ROCO:8358,20.6,Medium ESG Risk
Coal Energy SA,WAR:CLE,65.5,Severe ESG Risk
Coal India Ltd.,BOM:533278,40.7,Severe ESG Risk
Coast Capital Savings Federal Credit Union,-,28.0,Medium ESG Risk
Coastal Financial Corp. (Washington),NAS:CCB,33.0,High ESG Risk
Coats Group Plc,LON:COA,9.9,Negligible ESG Risk
"Coca-Cola Bottlers Japan Holdings, Inc.",TKS:2579,25.0,Medium ESG Risk
"Coca-Cola Consolidated, Inc.",NAS:COKE,34.2,High ESG Risk
Coca-Cola Europacific Partners plc,NAS:CCEP,15.7,Low ESG Risk
Coca-Cola FEMSA SAB de CV,MEX:KOFUBL,27.5,Medium ESG Risk
Coca-Cola HBC AG,LON:CCH,13.8,Low ESG Risk
Coca-Cola Icecek AS,IST:CCOLA.E,17.8,Low ESG Risk
Cochin Shipyard Ltd.,BOM:540678,27.5,Medium ESG Risk
Cochlear Ltd.,ASX:COH,28.0,Medium ESG Risk
Codan Ltd.,ASX:CDA,10.0,Low ESG Risk
"Codexis, Inc.",NAS:CDXS,38.4,High ESG Risk
"Codorus Valley Bancorp, Inc.",NAS:CVLY,30.7,High ESG Risk
"Coeur Mining, Inc.",NYS:CDE,32.7,High ESG Risk
Coface SA,PAR:COFA,18.0,Low ESG Risk
"COFCO Biotechnology Co., Ltd.",SHE:000930,36.9,High ESG Risk
"COFCO Capital Holdings Co., Ltd.",SHE:002423,18.9,Low ESG Risk
COFCO Corp.,-,42.2,Severe ESG Risk
COFCO International (HK) Ltd.,-,20.2,Medium ESG Risk
COFCO Joycome Foods Ltd.,HKG:1610,38.3,High ESG Risk
Cofinimmo SA,BRU:COFB,11.1,Low ESG Risk
Cofiroute SA,-,7.4,Negligible ESG Risk
Coforge Ltd.,BOM:532541,22.3,Medium ESG Risk
"Cogeco Communications, Inc.",TSE:CCA,10.9,Low ESG Risk
"Cogeco, Inc.",TSE:CGO,16.0,Low ESG Risk
"Cogent Biosciences, Inc.",NAS:COGT,30.5,High ESG Risk
"Cogent Communications Holdings, Inc.",NAS:CCOI,30.4,High ESG Risk
Cogna Educação SA,BSP:COGN3,10.7,Low ESG Risk
Cognex Corp.,NAS:CGNX,11.2,Low ESG Risk
Cognizant Technology Solutions Corp.,NAS:CTSH,16.5,Low ESG Risk
"Cohen & Steers, Inc. (New York)",NYS:CNS,26.1,Medium ESG Risk
Coherent Corp.,NYS:COHR,18.7,Low ESG Risk
"Coherus BioSciences, Inc.",NAS:CHRS,28.1,Medium ESG Risk
"Cohu, Inc.",NAS:COHU,17.3,Low ESG Risk
"Coinbase Global, Inc.",NAS:COIN,27.5,Medium ESG Risk
Colbún SA,SGO:COLBUN,25.8,Medium ESG Risk
Coles Group Ltd.,ASX:COL,22.2,Medium ESG Risk
Colgate-Palmolive (India) Ltd.,BOM:500830,28.0,Medium ESG Risk
Colgate-Palmolive Co.,NYS:CL,26.2,Medium ESG Risk
"Collegium Pharmaceutical, Inc.",NAS:COLL,29.6,Medium ESG Risk
"Colliers International Group, Inc.",TSE:CIGI,10.5,Low ESG Risk
Collins Foods Ltd.,ASX:CKF,28.3,Medium ESG Risk
Colombia Telecomunicaciones SA ESP,BOG:COLTEL,26.2,Medium ESG Risk
"Colonial Enterprises, Inc.",-,26.3,Medium ESG Risk
Colonial Pipeline Co.,-,40.4,Severe ESG Risk
"Colony Bankcorp, Inc.",NAS:CBAN,27.8,Medium ESG Risk
"COLOPL, Inc.",TKS:3668,24.9,Medium ESG Risk
Coloplast A/S,CSE:COLO.B,15.2,Low ESG Risk
"Colowide Co., Ltd.",TKS:7616,33.7,High ESG Risk
Colruyt Group NV,BRU:COLR,20.4,Medium ESG Risk
Colt CZ Group SE,PRA:CZG,35.4,High ESG Risk
Coltene Holding AG,SWX:CLTN,17.7,Low ESG Risk
"Columbia Banking System, Inc.",NAS:COLB,27.7,Medium ESG Risk
"Columbia Financial, Inc.",NAS:CLBK,29.5,Medium ESG Risk
Columbia Sportswear Co.,NAS:COLM,14.7,Low ESG Risk
Columbus McKinnon Corp.,NAS:CMCO,29.4,Medium ESG Risk
Com2uS Corp.,KRX:078340,25.8,Medium ESG Risk
Com2uS Holdings Corp.,KRX:063080,21.1,Medium ESG Risk
Com7 Public Co. Ltd.,BKK:COM7,19.5,Low ESG Risk
Comarch SA,WAR:CMR,18.2,Low ESG Risk
Comba Telecom Systems Holdings Ltd.,HKG:2342,21.2,Medium ESG Risk
Comcast Corp.,NAS:CMCSA,23.1,Medium ESG Risk
Comer Industries SpA,MIL:COM,21.4,Medium ESG Risk
"Comerica, Inc.",NYS:CMA,25.1,Medium ESG Risk
COMET Holding AG,SWX:COTN,14.3,Low ESG Risk
"Comforia Residential REIT, Inc.",TKS:3282,13.3,Low ESG Risk
"Comfort Systems USA, Inc.",NYS:FIX,30.8,High ESG Risk
ComfortDelGro Corp. Ltd.,SES:C52,15.2,Low ESG Risk
Cominar Real Estate Investment Trust,-,19.3,Low ESG Risk
Comisión Federal de Electricidad SA de CV,-,59.9,Severe ESG Risk
"Commerce Bancshares, Inc. (Missouri)",NAS:CBSH,23.7,Medium ESG Risk
Commercial Bank of Dubai,DFM:CBD,32.1,High ESG Risk
Commercial Bank of Qatar,DSMD:CBQK,27.9,Medium ESG Risk
Commercial International Bank (Egypt) SAE,CAI:COMI,19.8,Low ESG Risk
Commercial Metals Co.,NYS:CMC,25.9,Medium ESG Risk
"Commercial Vehicle Group, Inc.",NAS:CVGI,29.3,Medium ESG Risk
Commerzbank AG,ETR:CBK,26.0,Medium ESG Risk
CommonSpirit Health (Illinois),-,34.2,High ESG Risk
Commonwealth Bank of Australia,ASX:CBA,17.1,Low ESG Risk
Commonwealth Edison Co.,-,27.3,Medium ESG Risk
"CommScope Holding Co., Inc.",NAS:COMM,13.1,Low ESG Risk
"Community Bank System, Inc.",NYS:CBU,24.5,Medium ESG Risk
Community Finance Co. 1 Plc,-,12.2,Low ESG Risk
"Community Health Systems, Inc.",NYS:CYH,33.8,High ESG Risk
"Community Healthcare Trust, Inc.",NYS:CHCT,17.6,Low ESG Risk
"Community Trust Bancorp, Inc. (Kentucky)",NAS:CTBI,31.9,High ESG Risk
"Commvault Systems, Inc.",NAS:CVLT,15.5,Low ESG Risk
Compagnie de Saint-Gobain SA,PAR:SGO,21.4,Medium ESG Risk
Compagnie des Alpes SA,PAR:CDA,26.6,Medium ESG Risk
Compagnie Financière Richemont SA,SWX:CFR,11.6,Low ESG Risk
Compagnie Financière Tradition SA,SWX:CFT,34.8,High ESG Risk
Compagnie Générale des Établissements Michelin SCA,PAR:ML,11.5,Low ESG Risk
"Compal Electronics, Inc.",TAI:2324,18.6,Low ESG Risk
Companhia Brasileira de Alumínio,BSP:CBAV3,27.5,Medium ESG Risk
Companhia Brasileira de Distribuicao,BSP:PCAR3,20.7,Medium ESG Risk
Companhia de Ferro Ligas da Bahia,BSP:FESA4,36.7,High ESG Risk
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,BSP:SBSP3,33.6,High ESG Risk
Companhia de Saneamento de Minas Gerais,BSP:CSMG3,36.5,High ESG Risk
Companhia de Saneamento do Paraná,BSP:SAPR4,32.3,High ESG Risk
Companhia Energética de Minas Gerais SA,BSP:CMIG4,26.3,Medium ESG Risk
Companhia Paranaense de Energia,BSP:CPLE6,23.9,Medium ESG Risk
Companhia Siderurgica Nacional,BSP:CSNA3,26.7,Medium ESG Risk
Compañía Cervecerías Unidas SA,SGO:CCU,26.8,Medium ESG Risk
Compañía de Distribución Integral Logista Holdings SA,MCE:LOG,14.4,Low ESG Risk
Compañía de Minas Buenaventura SAA,LIM:BUENAVC1,43.1,Severe ESG Risk
Compañía Española de Petróleos SA,-,21.8,Medium ESG Risk
Compania Sud Americana de Vapores SA,SGO:VAPORES,23.4,Medium ESG Risk
Compass Diversified Holdings,NYS:CODI,28.1,Medium ESG Risk
Compass Group Plc,LON:CPG,20.0,Low ESG Risk
"Compass Minerals International, Inc.",NYS:CMP,37.7,High ESG Risk
"Compass Therapeutics, Inc.",NAS:CMPX,33.9,High ESG Risk
"Compass, Inc. (New York)",NYS:COMP.EQ,24.4,Medium ESG Risk
"Compeq Manufacturing Co., Ltd.",TAI:2313,20.9,Medium ESG Risk
"CompoSecure, Inc.",NAS:CMPO,25.8,Medium ESG Risk
CompuGroup Medical Societas Europaea,ETR:COP,15.6,Low ESG Risk
Computacenter Plc,LON:CCC,15.5,Low ESG Risk
Computer Age Management Services Ltd.,BOM:543232,23.0,Medium ESG Risk
Computer Direct Group Ltd.,TAE:CMDR,24.9,Medium ESG Risk
Computer Engineering & Consulting Ltd.,TKS:9692,22.3,Medium ESG Risk
"Computer Programs & Systems, Inc.",NAS:CPSI,20.2,Medium ESG Risk
Computershare Ltd.,ASX:CPU,20.9,Medium ESG Risk
"CompX International, Inc.",ASE:CIX,8.9,Negligible ESG Risk
"Comstock Resources, Inc.",NYS:CRK,45.0,Severe ESG Risk
COMSYS Holdings Corp.,TKS:1721,40.5,Severe ESG Risk
Comtech Telecommunications Corp.,NAS:CMTL,22.4,Medium ESG Risk
Comture Corp.,TKS:3844,23.5,Medium ESG Risk
"Conagra Brands, Inc.",NYS:CAG,28.3,Medium ESG Risk
Concejo AB,OME:CNCJO.B,12.9,Low ESG Risk
Concentra Bank,-,24.2,Medium ESG Risk
Concentradora Fibra Danhos SA de CV,MEX:DANHOS13,9.6,Negligible ESG Risk
Concentric AB,OME:COIC,18.8,Low ESG Risk
Concentrix Corp.,NAS:CNXC,16.9,Low ESG Risk
Concepcion Industrial Corp.,PHS:CIC,29.6,Medium ESG Risk
Concord New Energy Group Ltd.,HKG:182,20.2,Medium ESG Risk
"Concordia Financial Group, Ltd.",TKS:7186,30.0,High ESG Risk
Concordia Maritime AB,-,37.8,High ESG Risk
Concordia University,-,14.2,Low ESG Risk
"Concrete Pumping Holdings, Inc.",NAS:BBCP,44.3,Severe ESG Risk
"Conduent, Inc.",NAS:CNDT,24.0,Medium ESG Risk
Conduit Holdings Ltd.,LON:CRE,34.3,High ESG Risk
"Confluent, Inc.",NAS:CFLT,20.5,Medium ESG Risk
CONMED Corp.,NYS:CNMD,23.9,Medium ESG Risk
Connect Plus (M25) Issuer PLC,-,26.1,Medium ESG Risk
Connecteast Finance Pty Ltd.,-,9.4,Negligible ESG Risk
"ConnectOne Bancorp, Inc.",NAS:CNOB,32.8,High ESG Risk
"Connectwave Co., Ltd.",KRX:119860,28.0,Medium ESG Risk
ConocoPhillips,NYS:COP,35.1,High ESG Risk
"Consensus Cloud Solutions, Inc.",NAS:CCSI,24.2,Medium ESG Risk
"CONSOL Energy, Inc.",NYS:CEIX,45.2,Severe ESG Risk
"Consolidated Communications Holdings, Inc.",NAS:CNSL,34.7,High ESG Risk
"Consolidated Edison Company of New York, Inc.",-,27.1,Medium ESG Risk
"Consolidated Edison, Inc.",NYS:ED,22.3,Medium ESG Risk
Consolidated Water Co. Ltd.,NAS:CWCO,35.5,High ESG Risk
Consorcio Corredor Vial Bioceanico,-,13.8,Low ESG Risk
Consorcio Transmantaro SA,-,19.3,Low ESG Risk
"Constellation Brands, Inc.",NYS:STZ,26.7,Medium ESG Risk
Constellation Energy Corp.,NAS:CEG,29.8,Medium ESG Risk
Constellation Energy Generation LLC,-,29.9,Medium ESG Risk
"Constellation Software, Inc.",TSE:CSU,25.6,Medium ESG Risk
Constellium SE,NYS:CSTM,22.2,Medium ESG Risk
