ISO (3),Companies,Symbols,Ratings,Risk,Industry,Environmental score,Social score,Governance score
ARE,Abu Dhabi Commercial Bank,ADS:ADCB,12.5,Low ESG Risk,Banks,,,
ARE,Abu Dhabi Islamic Bank,ADS:ADIB,29.6,Medium ESG Risk,Banks,,,
ARE,Abu Dhabi National Energy Co. PJSC,ADS:TAQA,18.1,Low ESG Risk,Utilities,,,
ARE,Abu Dhabi National Hotels,ADS:ADNH,31.6,High ESG Risk,Consumer Services,,,
ARE,Abu Dhabi National Insurance Co. PSC,ADS:ADNIC,33.9,High ESG Risk,Insurance,,,
ARE,Abu Dhabi National Oil Co. for Distribution PJSC,ADS:ADNOCDIST,25.4,Medium ESG Risk,Refiners & Pipelines,,,
ARE,Abu Dhabi Ports Co. PJSC,ADS:ADPORTS,18.5,Low ESG Risk,Transportation,,,
SWE,AcadeMedia AB,OME:ACAD,15.7,Low ESG Risk,Consumer Services,,,
USA,"Academy Sports & Outdoors, Inc.",NAS:ASO,15.7,Low ESG Risk,Retailing,,,
USA,"Acadia Healthcare Co., Inc.",NAS:ACHC,29.5,Medium ESG Risk,Healthcare,,,
USA,"ACADIA Pharmaceuticals, Inc.",NAS:ACAD,24.4,Medium ESG Risk,Pharmaceuticals,,,
IND,ACC Ltd.,BOM:500410,29.3,Medium ESG Risk,Construction Materials,,,
USA,"Accel Entertainment, Inc.",NYS:ACEL,19.5,Low ESG Risk,Media,,,
CHN,"Accelink Technologies Co., Ltd.",SHE:002281,21.4,Medium ESG Risk,Technology Hardware,,,
CHE,Accelleron Industries AG,SWX:ACLN,26.6,Medium ESG Risk,Machinery,,,
AUS,Accent Group Ltd.,ASX:AX1,16.5,Low ESG Risk,Retailing,,,
IRL,Accenture Plc,NYS:ACN,9.8,Negligible ESG Risk,Software & Services,0.8,4.6,4.4
ESP,Acciona SA,MCE:ANA,17.1,Low ESG Risk,Utilities,,,
USA,ACCO Brands Corp.,NYS:ACCO,7.5,Negligible ESG Risk,Commercial Services,,,
USA,"Accolade, Inc.",NAS:ACCD,20.6,Medium ESG Risk,Healthcare,,,
FRA,Accor SA,PAR:AC,18.2,Low ESG Risk,Consumer Services,,,
CHN,Accton Technology Corp.,TAI:2345,20.1,Medium ESG Risk,Technology Hardware,,,
KOR,Ace Technologies Corp.,KRX:088800,25.0,Medium ESG Risk,Technology Hardware,,,
ITA,Acea SpA,MIL:ACE,19.7,Low ESG Risk,Utilities,,,
PHL,ACEN Corp.,PHS:ACEN,29.6,Medium ESG Risk,Utilities,,,
CHN,"Acer, Inc.",TAI:2353,14.7,Low ESG Risk,Technology Hardware,,,
ESP,Acerinox SA,MCE:ACX,29.5,Medium ESG Risk,Steel,,,
JPN,Achilles Corp.,TKS:5142,30.5,High ESG Risk,Chemicals,,,
USA,"ACI Worldwide, Inc.",NAS:ACIW,22.4,Medium ESG Risk,Software & Services,,,
BEL,Ackermans & van Haaren NV,BRU:ACKB,7.6,Negligible ESG Risk,Diversified Financials,,,
USA,"Aclaris Therapeutics, Inc.",NAS:ACRS,32.7,High ESG Risk,Pharmaceuticals,,,
CHN,"ACM Research (Shanghai), Inc.",SHG:688082,31.3,High ESG Risk,Machinery,,,
USA,"ACM Research, Inc.",NAS:ACMR,32.1,High ESG Risk,Machinery,,,
NLD,ACOMO NV,AMS:ACOMO,13.3,Low ESG Risk,Food Retailers,,,
SWE,Acrinova AB,OME:ACRI.A,23.1,Medium ESG Risk,Real Estate,,,
USA,"Acrivon Therapeutics, Inc.",NAS:ACRV,35.8,High ESG Risk,Pharmaceuticals,,,
RUS,Acron PJSC,MIC:AKRN,52.9,Severe ESG Risk,Chemicals,,,
ESP,ACS Actividades de Construcción y Servicios SA,MCE:ACS,30.8,High ESG Risk,Construction & Engineering,8.3,19.8,8.7
CHN,Acter Group Corp. Ltd.,ROCO:5536,28.4,Medium ESG Risk,Construction & Engineering,,,
SWE,Actic Group AB,OME:ATIC,32.0,High ESG Risk,Consumer Services,,,
IND,Action Construction Equipment Ltd.,BOM:532762,31.2,High ESG Risk,Machinery,,,
SWE,Active Biotech AB,OME:ACTI,28.1,Medium ESG Risk,Pharmaceuticals,,,
JPN,"Activia Properties, Inc.",TKS:3279,12.7,Low ESG Risk,Real Estate,,,
USA,Acushnet Holdings Corp.,NYS:GOLF,10.7,Low ESG Risk,Consumer Durables,,,
USA,"ACV Auctions, Inc.",NAS:ACVA,30.3,High ESG Risk,Retailing,,,
IND,Adani Energy Solutions Ltd.,BOM:539254,25.3,Medium ESG Risk,Utilities,,,
IND,Adani Enterprises Ltd.,BOM:512599,34.3,High ESG Risk,Traders & Distributors,,,
IND,Adani Green Energy Ltd.,BOM:541450,13.9,Low ESG Risk,Utilities,,,
IND,Adani Ports & Special Economic Zone Ltd.,BOM:532921,12.7,Low ESG Risk,Transportation Infrastructure,,,
IND,Adani Total Gas Ltd.,BOM:542066,23.9,Medium ESG Risk,Utilities,,,
IND,Adani Wilmar Ltd.,BOM:543458,33.1,High ESG Risk,Food Products,,,
USA,Adaptive Biotechnologies Corp.,NAS:ADPT,18.9,Low ESG Risk,Pharmaceuticals,,,
JPN,"Adastria Co., Ltd.",TKS:2685,19.7,Low ESG Risk,Retailing,,,
CHN,"ADATA Technology Co., Ltd.",ROCO:3260,34.2,High ESG Risk,Semiconductors,,,
CHN,"ADDCN Technology Co., Ltd.",ROCO:5287,23.8,Medium ESG Risk,Software & Services,,,
SWE,AddLife AB,OME:ALIF.B,15.3,Low ESG Risk,Pharmaceuticals,,,
SWE,Addnode Group AB,OME:ANOD.B,26.7,Medium ESG Risk,Software & Services,,,
CHN,"Addsino Co., Ltd.",SHE:000547,23.7,Medium ESG Risk,Technology Hardware,,,
SWE,Addtech AB,OME:ADDT.B,21.2,Medium ESG Risk,Traders & Distributors,,,
CHE,Adecco Group AG,SWX:ADEN,9.1,Negligible ESG Risk,Commercial Services,,,
LUX,Adecoagro SA,NYS:AGRO,28.8,Medium ESG Risk,Food Products,,,
USA,"Adeia, Inc.",NAS:ADEA,30.3,High ESG Risk,Semiconductors,,,
JPN,Adeka Corp.,TKS:4401,26.9,Medium ESG Risk,Chemicals,,,
DEU,adesso SE,ETR:ADN1,21.5,Medium ESG Risk,Software & Services,,,
NOR,Adevinta ASA,OSL:ADE,21.9,Medium ESG Risk,Software & Services,,,
USA,"Adicet Bio, Inc.",NAS:ACET,26.6,Medium ESG Risk,Pharmaceuticals,,,
DEU,adidas AG,ETR:ADS,14.6,Low ESG Risk,Textiles & Apparel,2.6,6.7,5.6
USA,Adient plc,NYS:ADNT,16.0,Low ESG Risk,Auto Components,,,
CHN,Adimmune Corp.,TAI:4142,26.7,Medium ESG Risk,Pharmaceuticals,,,
IND,Aditya Birla Capital Ltd.,BOM:540691,12.4,Low ESG Risk,Diversified Financials,,,
IND,Aditya Birla Fashion & Retail Ltd.,BOM:535755,13.3,Low ESG Risk,Textiles & Apparel,,,
LUX,ADLER Group SA,ETR:ADJ,22.8,Medium ESG Risk,Real Estate,,,
CHN,"Adlink Technology, Inc.",TAI:6166,20.8,Medium ESG Risk,Technology Hardware,,,
USA,"ADMA Biologics, Inc.",NAS:ADMA,34.8,High ESG Risk,Pharmaceuticals,,,
GRC,Admie Holdings (IPTO) SA,ATH:ADMIE,31.8,High ESG Risk,Utilities,,,
GBR,Admiral Group Plc,LON:ADM,24.2,Medium ESG Risk,Insurance,,,
USA,"Adobe, Inc.",NAS:ADBE,14.9,Low ESG Risk,Software & Services,1.9,6.0,5.2
IRL,ADS-TEC Energy Plc,NAS:ADSE,28.5,Medium ESG Risk,Electrical Equipment,,,
USA,"ADT, Inc.",NYS:ADT,22.3,Medium ESG Risk,Commercial Services,,,
USA,"ADTRAN Holdings, Inc.",NAS:ADTN,19.0,Low ESG Risk,Technology Hardware,,,
DEU,Adtran Networks SE,ETR:ADV,11.1,Low ESG Risk,Technology Hardware,,,
JPN,"ADVAN GROUP CO., LTD",TKS:7463,26.1,Medium ESG Risk,Traders & Distributors,,,
USA,"Advance Auto Parts, Inc.",NYS:AAP,11.2,Low ESG Risk,Retailing,,,
JPN,Advance Logistics Investment Corp.,TKS:3493,14.6,Low ESG Risk,Real Estate,,,
JPN,Advance Residence Investment Corp.,TKS:3269,16.2,Low ESG Risk,Real Estate,,,
CHN,Advanced Ceramic X Corp.,ROCO:3152,17.4,Low ESG Risk,Technology Hardware,,,
USA,"Advanced Drainage Systems, Inc.",NYS:WMS,26.7,Medium ESG Risk,Building Products,,,
USA,"Advanced Energy Industries, Inc.",NAS:AEIS,17.8,Low ESG Risk,Semiconductors,,,
CHN,"Advanced Energy Solution Holding Co., Ltd.",TAI:6781,25.3,Medium ESG Risk,Electrical Equipment,,,
IND,Advanced Enzyme Technologies Ltd.,BOM:540025,34.0,High ESG Risk,Chemicals,,,
THA,"Advanced Info Service Public Co., Ltd.",BKK:ADVANC,21.6,Medium ESG Risk,Telecommunication Services,,,
CHN,Advanced International Multitech Co. Ltd.,ROCO:8938,11.5,Low ESG Risk,Consumer Durables,,,
GBR,Advanced Medical Solutions Group Plc,LON:AMS,14.3,Low ESG Risk,Healthcare,,,
USA,"Advanced Micro Devices, Inc.",NAS:AMD,15.0,Low ESG Risk,Semiconductors,,,
CHN,"Advanced Micro Fabrication Equipment, Inc. China",SHG:688012,24.5,Medium ESG Risk,Semiconductors,,,
KOR,"Advanced Nano Products Co., Ltd.",KRX:121600,36.6,High ESG Risk,Chemicals,,,
SAU,Advanced Petrochemical Co.,SAU:2330,27.8,Medium ESG Risk,Chemicals,,,
CHN,"Advanced Technology & Materials Co., Ltd.",SHE:000969,53.0,Severe ESG Risk,Diversified Metals,,,
CHN,Advanced Wireless Semiconductor Co.,ROCO:8086,20.6,Medium ESG Risk,Semiconductors,,,
CHN,"AECC Aero-engine Control Co., Ltd.",SHE:000738,44.2,Severe ESG Risk,Aerospace & Defense,,,
CHN,"AECC Aviation Power Co., Ltd.",SHG:600893,48.8,Severe ESG Risk,Aerospace & Defense,,,
ZAF,AECI Ltd.,JSE:AFE,28.5,Medium ESG Risk,Chemicals,,,
NLD,Aegon Ltd.,AMS:AGN,15.3,Low ESG Risk,Insurance,,,
SGP,AEM Holdings Ltd.,SES:AWX,17.5,Low ESG Risk,Semiconductors,,,
MYS,AEON Credit Service (M) Bhd.,KLS:5139,22.5,Medium ESG Risk,Diversified Financials,,,
JPN,"AEON Fantasy Co., Ltd.",TKS:4343,31.7,High ESG Risk,Consumer Services,,,
JPN,"AEON Financial Service Co., Ltd.",TKS:8570,31.4,High ESG Risk,Banks,,,
JPN,AEON Hokkaido Corp.,TKS:7512,20.5,Medium ESG Risk,Retailing,,,
JPN,"AEON Mall Co., Ltd.",TKS:8905,22.0,Medium ESG Risk,Real Estate,,,
JPN,AEON REIT Investment Corp.,TKS:3292,18.3,Low ESG Risk,Real Estate,,,
THA,AEON Thana Sinsap (Thailand) Public Co. Ltd.,BKK:AEONTS,24.2,Medium ESG Risk,Diversified Financials,,,
IRL,AerCap Holdings NV,NYS:AER,20.0,Medium ESG Risk,Traders & Distributors,,,
FRA,Aéroports de Paris ADP,PAR:ADP,18.1,Low ESG Risk,Transportation Infrastructure,,,
CHN,"Aerospace Hi-Tech Holding Group Co., Ltd.",SHE:000901,28.9,Medium ESG Risk,Auto Components,,,
CHL,AES Andes SA,SGO:AESANDES,36.0,High ESG Risk,Utilities,,,
BRA,AES Brasil Energia SA,BSP:AESB3,10.1,Low ESG Risk,Utilities,,,
USA,"Aeva Technologies, Inc.",NYS:AEVA,37.2,High ESG Risk,Semiconductors,,,
GBR,AEW UK REIT Plc,LON:AEWU,16.5,Low ESG Risk,Real Estate,,,
USA,"AFC Gamma, Inc.",NAS:AFCG,29.8,Medium ESG Risk,Diversified Financials,,,
USA,"Affiliated Managers Group, Inc.",NYS:AMG,21.1,Medium ESG Risk,Diversified Financials,,,
IND,Affle (India) Ltd.,BOM:542752,20.5,Medium ESG Risk,Software & Services,,,
ISR,AFI Properties Ltd.,TAE:AFPR,24.4,Medium ESG Risk,Real Estate,,,
ISR,Africa Israel Residences Ltd.,TAE:AFRE,24.5,Medium ESG Risk,Real Estate,,,
CAN,Africa Oil Corp.,TSE:AOI,43.9,Severe ESG Risk,Oil & Gas Producers,,,
EGY,African Export-Import Bank,MAU:AEIB.N0004,39.4,High ESG Risk,Banks,,,
ZAF,African Rainbow Minerals Ltd.,JSE:ARI,33.6,High ESG Risk,Diversified Metals,,,
ZAF,Afrimat Ltd.,JSE:AFT,30.5,High ESG Risk,Construction Materials,,,
SWE,AFRY AB,OME:AFRY,22.7,Medium ESG Risk,Construction & Engineering,,,
THA,After You Public Co. Ltd.,BKK:AU,33.2,High ESG Risk,Consumer Services,,,
TUR,AG Anadolu Grubu Holding AS,IST:AGHOL.E,31.5,High ESG Risk,Industrial Conglomerates,,,
CAN,"Ag Growth International, Inc.",TSE:AFN,22.1,Medium ESG Risk,Machinery,,,
JPN,"AGC, Inc. (Japan)",TKS:5201,22.2,Medium ESG Risk,Building Products,,,
BEL,ageas SA/NV,BRU:AGS,16.2,Low ESG Risk,Insurance,,,
USA,"Agenus, Inc.",NAS:AGEN,27.6,Medium ESG Risk,Pharmaceuticals,,,
BEL,Agfa-Gevaert NV,BRU:AGFB,14.3,Low ESG Risk,Healthcare,,,
CHN,Agile Group Holdings Ltd.,HKG:3383,17.5,Low ESG Risk,Real Estate,,,
USA,"Agilent Technologies, Inc.",NYS:A,13.3,Low ESG Risk,Pharmaceuticals,1.1,6.4,6.1
USA,"Agiliti, Inc. (Minnesota)",NYS:AGTI,21.2,Medium ESG Risk,Healthcare,,,
KWT,Agility Public Warehousing Co. KSC,KUW:AGLTY,20.7,Medium ESG Risk,Transportation,,,
USA,"Agilysys, Inc.",NAS:AGYS,13.2,Low ESG Risk,Technology Hardware,,,
USA,"Agios Pharmaceuticals, Inc.",NAS:AGIO,23.7,Medium ESG Risk,Pharmaceuticals,,,
USA,AGNC Investment Corp.,NAS:AGNC,9.4,Negligible ESG Risk,Real Estate,,,
CAN,Agnico Eagle Mines Ltd.,TSE:AEM,21.4,Medium ESG Risk,Precious Metals,8.8,7.4,5.2
AUT,AGRANA Beteiligungs-AG,WBO:AGR,29.7,Medium ESG Risk,Food Products,,,
USA,Agree Realty Corp.,NYS:ADC,15.2,Low ESG Risk,Real Estate,,,
CHN,Agricultural Bank of China Ltd.,HKG:1288,32.4,High ESG Risk,Banks,,,
ARE,Agthia Group PJSC,ADS:AGTHIA,30.9,High ESG Risk,Food Products,,,
CHL,Aguas Andinas SA,SGO:AGUAS.A,22.0,Medium ESG Risk,Utilities,,,
CHN,AGV Products Corp.,TAI:1217,33.0,High ESG Risk,Food Products,,,
QAT,Ahli Bank QPSC,DSMD:ABQK,35.1,High ESG Risk,Banks,,,
KWT,Ahli United Bank,KUW:ALMUTAHED,26.5,Medium ESG Risk,Banks,,,
KOR,"Ahnlab, Inc.",KRX:053800,25.7,Medium ESG Risk,Software & Services,,,
JPN,Ai Holdings Corp.,TKS:3076,17.0,Low ESG Risk,Technology Hardware,,,
IND,AIA Engineering Ltd.,BOM:532683,23.9,Medium ESG Risk,Machinery,,,
CHN,AIA Group Ltd.,HKG:1299,12.7,Low ESG Risk,Insurance,,,
IRL,AIB Group plc,DUB:A5G,12.7,Low ESG Risk,Banks,,,
JPN,"Aica Kogyo Co., Ltd.",TKS:4206,25.6,Medium ESG Risk,Chemicals,,,
JPN,"Aichi Financial Group, Inc.",TKS:7389,34.2,High ESG Risk,Banks,,,
JPN,Aichi Steel Corp.,TKS:5482,37.9,High ESG Risk,Steel,,,
JPN,Aida Engineering Ltd.,TKS:6118,31.2,High ESG Risk,Machinery,,,
CHN,"Aier Eye Hospital Group Co., Ltd.",SHE:300015,28.9,Medium ESG Risk,Healthcare,,,
JPN,AIFUL Corp.,TKS:8515,29.5,Medium ESG Risk,Diversified Financials,,,
CHN,"AIM Vaccine Co., Ltd.",HKG:6660,27.5,Medium ESG Risk,Pharmaceuticals,,,
CHN,"AIMA Technology Group Co., Ltd.",SHG:603529,13.0,Low ESG Risk,Automobiles,,,
JPN,"Aiphone Co., Ltd.",TKS:6718,19.4,Low ESG Risk,Technology Hardware,,,
ARE,Air Arabia PJSC,DFM:AIRARABIA,35.3,High ESG Risk,Transportation,,,
USA,Air Lease Corp.,NYS:AL,14.0,Low ESG Risk,Traders & Distributors,,,
NZL,Air New Zealand Ltd.,NZE:AIR,30.6,High ESG Risk,Transportation,,,
USA,"Air Products & Chemicals, Inc.",NYS:APD,15.1,Low ESG Risk,Chemicals,,,
USA,"Air Transport Services Group, Inc.",NAS:ATSG,23.6,Medium ESG Risk,Transportation,,,
JPN,"Air Water, Inc.",TKS:4088,22.2,Medium ESG Risk,Chemicals,,,
USA,"Airbnb, Inc.",NAS:ABNB,24.3,Medium ESG Risk,Software & Services,,,
FRA,Airbus SE,PAR:AIR,25.6,Medium ESG Risk,Aerospace & Defense,5.9,11.0,8.0
JPN,"Airport Facilities Co., Ltd.",TKS:8864,23.5,Medium ESG Risk,Real Estate,,,
THA,Airports of Thailand Public Co. Ltd.,BKK:AOT,17.1,Low ESG Risk,Transportation Infrastructure,,,
USA,"AirSculpt Technologies, Inc.",NAS:AIRS,33.1,High ESG Risk,Healthcare,,,
JPN,AirTrip Corp.,TKS:6191,39.8,High ESG Risk,Consumer Services,,,
JPN,"Aisan Industry Co., Ltd.",TKS:7283,23.4,Medium ESG Risk,Auto Components,,,
CHN,Aisino Corp.,SHG:600271,25.1,Medium ESG Risk,Software & Services,,,
DEU,AIXTRON SE,ETR:AIXA,21.3,Medium ESG Risk,Semiconductors,,,
IND,Ajanta Pharma Ltd.,BOM:532331,32.3,High ESG Risk,Pharmaceuticals,,,
JPN,"Ajinomoto Co., Inc.",TKS:2802,27.2,Medium ESG Risk,Food Products,,,
ARE,Ajman Bank PJSC,DFM:AJMANBANK,38.0,High ESG Risk,Banks,,,
CHN,AK Medical Holdings Ltd.,HKG:1789,23.2,Medium ESG Risk,Healthcare,,,
JPN,"Akatsuki, Inc.",TKS:3932,24.1,Medium ESG Risk,Software & Services,,,
TUR,Akcansa Cimento Sanayi ve Ticaret AS,IST:AKCNS.E,30.0,High ESG Risk,Construction Materials,,,
JPN,"Akebono Brake Industry Co., Ltd.",TKS:7238,24.9,Medium ESG Risk,Auto Components,,,
NOR,Aker BP ASA,OSL:AKRBP,34.7,High ESG Risk,Oil & Gas Producers,,,
NOR,Aker Carbon Capture AS,OSL:ACC,18.8,Low ESG Risk,Machinery,,,
NOR,Aker Horizons ASA,OSL:AKH,21.0,Medium ESG Risk,Diversified Financials,,,
NOR,Aker Solutions ASA,OSL:AKSO,23.4,Medium ESG Risk,Energy Services,,,
USA,"Akero Therapeutics, Inc.",NAS:AKRO,31.7,High ESG Risk,Pharmaceuticals,,,
TUR,Akis Gayrimenkul Yatirim Ortakligi AS,IST:AKSGY.E,13.4,Low ESG Risk,Real Estate,,,
USA,"Akoustis Technologies, Inc.",NAS:AKTS,23.7,Medium ESG Risk,Technology Hardware,,,
USA,"Akoya Biosciences, Inc.",NAS:AKYA,31.8,High ESG Risk,Pharmaceuticals,,,
TUR,Aksa Akrilik Kimya Sanayii AS,IST:AKSA.E,11.4,Low ESG Risk,Textiles & Apparel,,,
TUR,Aksa Enerji Üretim AS,IST:AKSEN.E,37.1,High ESG Risk,Utilities,,,
TUR,Aksigorta AS,IST:AKGRT.E,24.4,Medium ESG Risk,Insurance,,,
FIN,Aktia Bank Plc,HEL:AKTIA,18.8,Low ESG Risk,Banks,,,
FRA,AKWEL SA,PAR:AKW,10.5,Low ESG Risk,Auto Components,,,
IND,Akzo Nobel India Ltd.,BOM:500710,31.6,High ESG Risk,Chemicals,,,
NLD,Akzo Nobel NV,AMS:AKZA,20.8,Medium ESG Risk,Chemicals,,,
KWT,Al Ahli Bank of Kuwait KSC,KUW:ABK,30.8,High ESG Risk,Banks,,,
SAU,Al Dawaa Medical Services Co.,SAU:4163,19.5,Low ESG Risk,Healthcare,,,
SAU,Al Hammadi Holding,SAU:4007,33.2,High ESG Risk,Healthcare,,,
SAU,Al Jouf Cement Co.,SAU:3091,46.1,Severe ESG Risk,Construction Materials,,,
SAU,Al Masane Al Kobra Mining Co.,SAU:1322,45.4,Severe ESG Risk,Diversified Metals,,,
SAU,Al Moammar Information Systems Co.,SAU:7200,27.2,Medium ESG Risk,Software & Services,,,
SAU,Al Rajhi Bank,SAU:1120,25.3,Medium ESG Risk,Banks,,,
SAU,Al Rajhi Co. for Cooperative Insurance,SAU:8230,35.4,High ESG Risk,Insurance,,,
ARE,Al Yah Satellite Communications Co. PJSC,ADS:YAHSAT,23.0,Medium ESG Risk,Telecommunication Services,,,
KWT,ALAFCO Aviation Lease & Finance Co.,KUW:ALAFCO,30.8,High ESG Risk,Traders & Distributors,,,
USA,"Alamo Group, Inc.",NYS:ALG,22.3,Medium ESG Risk,Machinery,,,
CAN,"ADENTRA, Inc.",TSE:ADEN,28.6,Medium ESG Risk,Traders & Distributors,,,
TUR,Alarko Holding AS,IST:ALARK.E,31.2,High ESG Risk,Industrial Conglomerates,,,
